student_id,admission_date,door_no
2500268,0000-00-00,834
2500269,0000-00-00,7A/7E2
2500270,0000-00-00,Aug-97
2500271,0000-00-00,81/49
2500272,0000-00-00,
2500273,0000-00-00,51F3
2500274,0000-00-00,77
2500275,0000-00-00,"81 4 "
2500277,0000-00-00,36
2500279,0000-00-00,3/265
2500280,0000-00-00,Mar-25
2500281,0000-00-00,Feb-93
2500311,0000-00-00,
2500353,0000-00-00,6/158
2500354,0000-00-00,3/2750-27
2500355,0000-00-00,
2500356,0000-00-00,
2500357,0000-00-00,228/6
2500358,0000-00-00,20
2500583,0000-00-00,
2500704,0000-00-00,3/693
2500737,0000-00-00,130
2500738,0000-00-00,12-Aug
2500748,0000-00-00,2/374
2500750,0000-00-00,4/688
2500754,0000-00-00,"D No 5"
2500757,0000-00-00,42-1
2500758,0000-00-00,"Plot No 8"
2500775,0000-00-00,55
2500777,0000-00-00,5/401-1
2500778,0000-00-00,Jan-20
2500790,0000-00-00,Feb-38
2500802,0000-00-00,84A
2500803,0000-00-00,23
2500806,0000-00-00,K4
2500814,0000-00-00,454
2500816,0000-00-00,
2500819,0000-00-00,2/145
2500820,0000-00-00,24
2500822,0000-00-00,2/A1
2500823,0000-00-00,1/420
2500826,0000-00-00,237
2500829,0000-00-00,251/1
2500831,0000-00-00,36/2
2500834,0000-00-00,49A
2500844,0000-00-00,"4 Ward"
2500845,0000-00-00,
2500850,0000-00-00,Jan-64
2500851,0000-00-00,48/20
2500856,0000-00-00,74
2500857,0000-00-00,280-B5
2500946,0000-00-00,208/6
2500950,0000-00-00,"5/135 "
2500954,0000-00-00,312/48
2500957,0000-00-00,
2500962,0000-00-00,4/690A
2500976,0000-00-00,Jan-35
2500977,0000-00-00,44
2500978,0000-00-00,
2501025,0000-00-00,47/A5
2501034,0000-00-00,78
2501136,0000-00-00,Mar-33
2501137,0000-00-00,09-Jan
2501208,0000-00-00,2/106
2501482,0000-00-00,Mar-55
2501499,0000-00-00,"5/687 C"
2501500,0000-00-00,5/A2
2501501,0000-00-00,4/221
2501503,0000-00-00,
2501504,0000-00-00,
2501505,0000-00-00,
2501506,0000-00-00,8/20B
2501565,0000-00-00,63-A
2501593,0000-00-00,45N
2501634,0000-00-00,A-2
2501637,0000-00-00,"174 K/9"
2501662,0000-00-00,Feb-18
2501664,0000-00-00,42
2501667,0000-00-00,18
2501706,0000-00-00,1/131
2501983,0000-00-00,25
2501986,0000-00-00,61-C
2501988,0000-00-00,71
2501990,0000-00-00,"247-1 345/4"
2501996,0000-00-00,3/622
2502003,0000-00-00,4/181
2502152,0000-00-00,770
2502153,0000-00-00,May-55
2502226,0000-00-00,22/20
2502229,0000-00-00,31
2502231,0000-00-00,1/526
2502233,0000-00-00,100
2502235,0000-00-00,"14/11 5A"
2502237,0000-00-00,17
2502240,0000-00-00,42
2502243,0000-00-00,"6/597 B"
2502245,0000-00-00,6/103
2502250,0000-00-00,30
2502321,0000-00-00,187
2502325,0000-00-00,08-Sep
2502350,0000-00-00,Feb-69
2502374,0000-00-00,"3/1877 28"
2502393,0000-00-00,6A
2502401,0000-00-00,5/161
2502408,0000-00-00,Apr-63
2502433,0000-00-00,"3/1888 69"
2502436,0000-00-00,5/63B
2502437,0000-00-00,
2502450,0000-00-00,2/190
2502454,0000-00-00,167
2502460,0000-00-00,"36 A "
2502517,0000-00-00,"520 E 1"
2502518,0000-00-00,"D No 42"
2502520,0000-00-00,52
2502536,0000-00-00,37
2502537,0000-00-00,Jun-74
2502571,0000-00-00,5/93A
2502595,0000-00-00,12-Aug
2502602,0000-00-00,M5/58
2502617,0000-00-00,88/29/1
2502661,0000-00-00,9/282/54
2502700,0000-00-00,
2502714,0000-00-00,253A
2502742,0000-00-00,"45 A/16"
2502858,0000-00-00,05-Aug
2502860,0000-00-00,05-Sep
2502863,0000-00-00,Sep-65
2502867,0000-00-00,30-Jan
2502870,0000-00-00,Mar-22
2502878,0000-00-00,Mar-14
2502886,0000-00-00,16/32
2502954,0000-00-00,2/287
2502955,0000-00-00,144/5
2502956,0000-00-00,307
2502957,0000-00-00,1/164A
2502970,0000-00-00,3/23G
2503007,0000-00-00,236/1
2503034,0000-00-00,534
2503066,0000-00-00,117
2503067,0000-00-00,68/1
2503068,0000-00-00,Jan-64
2503069,0000-00-00,1/303
2503070,0000-00-00,28
2503122,0000-00-00,07-Jan
2503123,0000-00-00,"13/2949 3"
2503124,0000-00-00,28-Feb
2503125,0000-00-00,384
2503148,0000-00-00,39
2503170,0000-00-00,35
2503171,0000-00-00,
2503229,0000-00-00,Jul-15
2503241,0000-00-00,83
2503311,0000-00-00,"6/364 H"
2503313,0000-00-00,
2503314,0000-00-00,5/906/1
2503316,0000-00-00,21-Jan
2503318,0000-00-00,858A
2503382,0000-00-00,"2/43 1"
2503384,0000-00-00,3/169
2503387,0000-00-00,4/570H
2503389,0000-00-00,10/620C
2503391,0000-00-00,384
2503395,0000-00-00,61/6
2503495,0000-00-00,5/269
2503505,0000-00-00,02-Jun
2503506,0000-00-00,
2503509,0000-00-00,82
2503530,0000-00-00,
2503531,0000-00-00,22
2503539,0000-00-00,61/1
2503548,0000-00-00,"4 1 25"
2503635,0000-00-00,15
2503660,0000-00-00,85
2503668,0000-00-00,07-10-2029
2503741,0000-00-00,03-02-2005
2503755,0000-00-00,
2503770,0000-00-00,Dec-38
2503773,0000-00-00,4/296
2503788,0000-00-00,Feb-23
2503791,0000-00-00,
2503792,0000-00-00,"1/149 "
2503794,0000-00-00,423
2503795,0000-00-00,Mar-17
2503796,0000-00-00,03-Dec
2503798,0000-00-00,12
2503800,0000-00-00,201/A
2503801,0000-00-00,64/42
2503804,0000-00-00,10/419-22
2503824,0000-00-00,"30  1/14"
2503866,0000-00-00,508
2503878,0000-00-00,1/137
2503885,0000-00-00,119/6
2503889,0000-00-00,887/A1
2503897,0000-00-00,53/1
2503922,0000-00-00,62
2503926,0000-00-00,4/621F
2503927,0000-00-00,
2503929,0000-00-00,
2503931,0000-00-00,Mar-75
2503941,0000-00-00,259/F3
2503974,0000-00-00,07-Jul
2503977,0000-00-00,16/1-347
2504075,0000-00-00,Mar-76
2504082,0000-00-00,09-Jun
2504083,0000-00-00,05-Jul
2504089,0000-00-00,
2504095,0000-00-00,9/220
2504097,0000-00-00,43-B
2504118,0000-00-00,3
2504121,0000-00-00,Feb-99
2504143,0000-00-00,
2504164,0000-00-00,26
2504166,0000-00-00,"6/144 D"
2504168,0000-00-00,"3/171 1"
2504173,0000-00-00,"Plot No 109"
2504179,0000-00-00,156/92
2504181,0000-00-00,978/18Q
2504185,0000-00-00,"2/236 4"
2504187,0000-00-00,423/D
2504188,0000-00-00,99
2504190,0000-00-00,81
2504230,0000-00-00,No56
2504235,0000-00-00,117
2504286,0000-00-00,Mar-69
2504302,0000-00-00,13
2504316,0000-00-00,36
2504322,0000-00-00,13/B
2504329,0000-00-00,4E
2504343,0000-00-00,Jul-86
2504368,0000-00-00,176
2504395,0000-00-00,12B
2504410,0000-00-00,"Plot No 11"
2504431,0000-00-00,67B
2504476,0000-00-00,11-Mar
2504481,0000-00-00,50
2504484,0000-00-00,"No 133 "
2504526,0000-00-00,"No 4/234"
2504533,0000-00-00,"No 224/4"
2504543,0000-00-00,"2/28 E"
2504547,0000-00-00,"No 241"
2504550,0000-00-00,Mar-57
2504597,0000-00-00,19/D10
2504599,0000-00-00,161/13
2504604,0000-00-00,23B
2504607,0000-00-00,2/342
2504610,0000-00-00,"169 G"
2504616,0000-00-00,Feb-30
2504643,0000-00-00,No14
2504658,0000-00-00,4
2504665,0000-00-00,15A
2504680,0000-00-00,B1
2504690,0000-00-00,3/208
2504701,0000-00-00,May-46
2504703,0000-00-00,1/305
2504714,0000-00-00,83
2504725,0000-00-00,1/156
2504731,0000-00-00,6/733B
2504749,0000-00-00,87/39
2504753,0000-00-00,Feb-26
2504754,0000-00-00,Mar-42
2504783,0000-00-00,181
2504785,0000-00-00,"Door No 404"
2504787,0000-00-00,43
2504797,0000-00-00,1/103
2504807,0000-00-00,A-11
2504815,0000-00-00,415
2504816,0000-00-00,22
2504824,0000-00-00,L93/159
2504864,0000-00-00,"No 48"
2504906,0000-00-00,1/6G
2504910,0000-00-00,604
2504911,0000-00-00,1/197
2504929,0000-00-00,Jan-46
2504949,0000-00-00,Jan-59
2504960,0000-00-00,"Plot No 3A"
2504996,0000-00-00,"420 Kulakkarai Street"
2505002,0000-00-00,25
2505026,0000-00-00,6/214
2502645,0000-00-00,04-07-2015
2505052,0000-00-00,02-Jun
2505057,0000-00-00,171
2505064,0000-00-00,31
2505085,0000-00-00,2/588
2505088,0000-00-00,Jan-51
2505093,0000-00-00,363
2505109,0000-00-00,
2505170,0000-00-00,"2.4.39A "
2505171,0000-00-00,"No 60 "
2505188,0000-00-00,257
2505202,0000-00-00,"22/163 C5A"
2505205,0000-00-00,870
2505221,0000-00-00,5A
2505223,0000-00-00,
2505239,0000-00-00,1/141
2505242,0000-00-00,10
2505245,0000-00-00,66A
2505267,0000-00-00,3/221
2505273,0000-00-00,2/214M
2505280,0000-00-00,
2505295,0000-00-00,Feb-15
2505297,0000-00-00,51/85
2505298,0000-00-00,116
2505313,0000-00-00,2/23-1
2505340,0000-00-00,1163
2505358,0000-00-00,09-May
2505363,0000-00-00,3/113
2505364,0000-00-00,
2505367,0000-00-00,49/55
2505375,0000-00-00,Feb-90
2505392,0000-00-00,1/210
2505417,0000-00-00,4/82A
2505435,0000-00-00,1-560A
2505437,0000-00-00,"No 5"
2505438,0000-00-00,6/100C
2505439,0000-00-00,18-Mar
2505453,0000-00-00,382/Ad/1
2505454,0000-00-00,29
2505455,0000-00-00,"D .No 38"
2505474,0000-00-00,2/223
2505491,0000-00-00,553
2505492,0000-00-00,"7/1 West Street"
2505515,0000-00-00,
2505551,0000-00-00,2/348
2505559,0000-00-00,
2505560,0000-00-00,
2505577,0000-00-00,237
2505579,0000-00-00,3/468
2505580,0000-00-00,Mar-57
2505622,0000-00-00,02-Jun
2505623,0000-00-00,Mar-23
2505624,0000-00-00,17
2505625,0000-00-00,"H.no 4/4"
2505626,0000-00-00,
2505629,0000-00-00,"No 27"
2505643,0000-00-00,"No 1"
2505663,0000-00-00,Oct-45
2505664,0000-00-00,93/1
2505692,0000-00-00,"No 2/631A"
2505704,0000-00-00,13/A
2505713,0000-00-00,94
2505719,0000-00-00,Sep-82
2505731,0000-00-00,4/308
2505741,0000-00-00,Jan-30
2505750,0000-00-00,149
2505751,0000-00-00,"778 B"
2505752,0000-00-00,"H-7 "
2505764,0000-00-00,68/183
2505788,0000-00-00,"No 181"
2505798,0000-00-00,39
2505809,0000-00-00,"D.no 3/36"
2505816,0000-00-00,Mar-16
2505828,0000-00-00,16A
2505856,0000-00-00,2/165
2505857,0000-00-00,477
2505894,0000-00-00,15-15/1
2505903,0000-00-00,43/7
2505907,0000-00-00,
2505913,0000-00-00,"No 32"
2505914,0000-00-00,
2505919,0000-00-00,"No 727/A"
2504509,0000-00-00,87/1
2505940,0000-00-00,38/26
2505953,0000-00-00,639
2505956,0000-00-00,May-15
2505960,0000-00-00,319-A
2505963,0000-00-00,10/101A
2505967,0000-00-00,69
2505997,0000-00-00,18
2506001,0000-00-00,"No 3/67-3Rd Street"
2506021,0000-00-00,68/7H2
2506045,0000-00-00,5/152
2506050,0000-00-00,02-Mar
2506070,0000-00-00,34/2
2506083,0000-00-00,"No 23"
2506087,0000-00-00,Jan-25
2506089,0000-00-00,166/2A
2506115,0000-00-00,1/350
2506119,0000-00-00,May-62
2506140,0000-00-00,302
2506155,0000-00-00,
760153,2025-04-08,0
760232,2025-04-08,0
760196,2025-04-08,0
760197,2025-04-08,0
760230,2025-04-08,0
760231,2025-04-08,0
760233,2025-04-08,0
760234,2025-04-08,0
760235,2025-04-08,0
760236,2025-04-08,0
760237,2025-04-08,0
760238,2025-04-08,0
760239,2025-04-08,0
760240,2025-04-08,0
760241,2025-04-08,0
760242,2025-04-08,0
760251,2025-04-08,0
760252,2025-04-08,0
760253,2025-04-08,0
760254,2025-04-08,0
760262,2025-04-08,0
760285,2025-04-08,0
760286,2025-04-08,0
760287,2025-04-08,0
760295,2025-04-08,0
760296,2025-04-08,0
760297,2025-04-08,0
760298,2025-04-08,0
760312,2025-04-08,0
760319,2025-04-08,0
760320,2025-04-08,0
760321,2025-04-08,0
760322,2025-04-08,0
760323,2025-04-08,0
760324,2025-04-08,0
761147,2025-04-08,0
760339,2025-04-08,0
760372,2025-04-08,0
760374,2025-04-08,0
760392,2025-04-08,0
760393,2025-04-08,0
760394,2025-04-08,0
760873,2025-04-08,0
760817,2025-04-08,0
760562,2025-04-08,0
760458,2025-04-08,0
760459,2025-04-08,0
760460,2025-04-08,0
760461,2025-04-08,0
760462,2025-04-08,0
760463,2025-04-08,0
760464,2025-04-08,0
760465,2025-04-08,0
760466,2025-04-08,0
760467,2025-04-08,0
760479,2025-04-08,0
760480,2025-04-08,0
760481,2025-04-08,0
760482,2025-04-08,0
760483,2025-04-08,0
760484,2025-04-08,0
760488,2025-04-08,0
760489,2025-04-08,0
760490,2025-04-08,0
760491,2025-04-08,0
760550,2025-04-08,0
760551,2025-04-08,0
760557,2025-04-08,0
760558,2025-04-08,0
760559,2025-04-08,0
760560,2025-04-08,0
760563,2025-04-08,0
760564,2025-04-08,0
760565,2025-04-08,0
760566,2025-04-08,0
760567,2025-04-08,0
760568,2025-04-08,0
760569,2025-04-08,0
760570,2025-04-08,0
760600,2025-04-08,0
760601,2025-04-08,0
760602,2025-04-08,0
760603,2025-04-08,0
760643,2025-04-08,0
760644,2025-04-08,0
760645,2025-04-08,0
760646,2025-04-08,0
760647,2025-04-08,0
760648,2025-04-08,0
760649,2025-04-08,0
760650,2025-04-08,0
760651,2025-04-08,0
760823,2025-04-08,0
760755,2025-04-08,0
760756,2025-04-08,0
760757,2025-04-08,0
760758,2025-04-08,0
760759,2025-04-08,0
760760,2025-04-08,0
760761,2025-04-08,0
760762,2025-04-08,0
760763,2025-04-08,0
760764,2025-04-08,0
760765,2025-04-08,0
760766,2025-04-08,0
760767,2025-04-08,0
760768,2025-04-08,0
760800,2025-04-08,0
760801,2025-04-08,0
760802,2025-04-08,0
760803,2025-04-08,0
760804,2025-04-08,0
760805,2025-04-08,0
760821,2025-04-08,0
760818,2025-04-08,0
760819,2025-04-08,0
760820,2025-04-08,0
760822,2025-04-08,0
760824,2025-04-08,0
760825,2025-04-08,0
760826,2025-04-08,0
760827,2025-04-08,0
760828,2025-04-08,0
760829,2025-04-08,0
760846,2025-04-08,0
760847,2025-04-08,0
760848,2025-04-08,0
760849,2025-04-08,0
760850,2025-04-08,0
760851,2025-04-08,0
760852,2025-04-08,0
760853,2025-04-08,0
761161,2025-04-08,0
760856,2025-04-08,0
760857,2025-04-08,0
760858,2025-04-08,0
760859,2025-04-08,0
760874,2025-04-08,0
760875,2025-04-08,0
760877,2025-04-08,0
760878,2025-04-08,0
761021,2025-04-08,0
761160,2025-04-08,0
760913,2025-04-08,0
760891,2025-04-08,0
760892,2025-04-08,0
760893,2025-04-08,0
760894,2025-04-08,0
760895,2025-04-08,0
760896,2025-04-08,0
760897,2025-04-08,0
760898,2025-04-08,0
760899,2025-04-08,0
760900,2025-04-08,0
760901,2025-04-08,0
760908,2025-04-08,0
760909,2025-04-08,0
760919,2025-04-08,0
760920,2025-04-08,0
760921,2025-04-08,0
760922,2025-04-08,0
760923,2025-04-08,0
760924,2025-04-08,0
760963,2025-04-08,0
760964,2025-04-08,0
760965,2025-04-08,0
760966,2025-04-08,0
760967,2025-04-08,0
761014,2025-04-08,
761020,2025-04-08,
761034,2025-04-08,
761035,2025-04-08,
761036,2025-04-08,
761037,2025-04-08,
761038,2025-04-08,
761056,2025-04-08,
761057,2025-04-08,
761058,2025-04-08,
761059,2025-04-08,
761060,2025-04-08,
761061,2025-04-08,
760120,2025-04-08,
761195,2025-04-08,
761096,2025-04-08,
761097,2025-04-08,
761098,2025-04-08,
761099,2025-04-08,
761101,2025-04-08,
761102,2025-04-08,
761103,2025-04-08,
761104,2025-04-08,
761105,2025-04-08,
761139,2025-04-08,
761141,2025-04-08,
761142,2025-04-08,
761143,2025-04-08,
761144,2025-04-08,
761153,2025-04-08,
761154,2025-04-08,
761169,2025-04-08,
761170,2025-04-08,
761196,2025-04-08,
761222,2025-04-08,
761223,2025-04-08,
761224,2025-04-08,
761225,2025-04-08,
761226,2025-04-08,
761227,2025-04-08,
761228,2025-04-08,
761215,2025-04-08,
761216,2025-04-08,
761217,2025-04-08,
761218,2025-04-08,
761219,2025-04-08,
761220,2025-04-08,
761221,2025-04-08,
761229,2025-04-08,
761230,2025-04-08,
761007,2025-04-08,
760005,2025-04-08,
761266,2025-04-08,
761267,2025-04-08,
761268,2025-04-08,
761269,2025-04-08,
761270,2025-04-08,
761271,2025-04-08,
761272,2025-04-08,
761273,2025-04-08,
761274,2025-04-08,
761283,2025-04-08,
761294,2025-04-08,
761295,2025-04-08,
761296,2025-04-08,
761309,2025-04-08,
761317,2025-04-08,
761318,2025-04-08,
