id,stuid,FLOOR,ROOM_NO,COT_NO,HOSTEL NAME
80,2505527,FIRST,NB3,C-14,BOYS HOSTEL BLOCK - 3
81,2503245,FIRST,NB3,C-15,BOYS HOSTEL BLOCK - 3
82,2501694,FIRST,NB3,C-16,BOYS HOSTEL BLOCK - 3
83,2505740,FIRST,NB3,C-17,BOYS HOSTEL BLOCK - 3
84,2502319,FIRST,NB3,C-18,BOYS HOSTEL BLOCK - 3
85,2502126,FIRST,NB4,C-1,BOYS HOSTEL BLOCK - 3
86,2504077,FIRST,NB4,C-2,BOYS HOSTEL BLOCK - 3
87,2502120,FIRST,NB4,C-3,BOYS HOSTEL BLOCK - 3
88,2502113,FIRST,NB4,C-4,BOYS HOSTEL BLOCK - 3
89,2500876,FIRST,NB4,C-5,BOYS HOSTEL BLOCK - 3
90,2505446,FIRST,NB4,C-6,BOYS HOSTEL BLOCK - 3
91,2505249,FIRST,NB4,C-7,BOYS HOSTEL BLOCK - 3
92,2501709,FIRST,NB4,C-8,BOYS HOSTEL BLOCK - 3
93,2505508,FIRST,NB4,C-9,BOYS HOSTEL BLOCK - 3
94,2502734,FIRST,NB4,C-10,BOYS HOSTEL BLOCK - 3
95,2502148,FIRST,NB4,C-11,BOYS HOSTEL BLOCK - 3
96,2503529,FIRST,NB4,C-12,BOYS HOSTEL BLOCK - 3
97,2502950,FIRST,NB4,C-13,BOYS HOSTEL BLOCK - 3
98,2502320,FIRST,NB4,C-14,BOYS HOSTEL BLOCK - 3
99,2502096,FIRST,NB4,C-15,BOYS HOSTEL BLOCK - 3
100,2500729,FIRST,NB4,C-16,BOYS HOSTEL BLOCK - 3
101,2503392,FIRST,NB4,C-17,BOYS HOSTEL BLOCK - 3
102,2501121,FIRST,NB4,C-18,BOYS HOSTEL BLOCK - 3
103,2505705,FIRST,NB5,C-1,BOYS HOSTEL BLOCK - 3
104,2505526,FIRST,NB5,C-2,BOYS HOSTEL BLOCK - 3
105,2501671,FIRST,NB5,C-3,BOYS HOSTEL BLOCK - 3
106,2505786,FIRST,NB5,C-4,BOYS HOSTEL BLOCK - 3
107,2503902,FIRST,NB5,C-5,BOYS HOSTEL BLOCK - 3
108,2500702,FIRST,NB5,C-6,BOYS HOSTEL BLOCK - 3
109,2501708,FIRST,NB5,C-7,BOYS HOSTEL BLOCK - 3
110,2504073,FIRST,NB5,C-8,BOYS HOSTEL BLOCK - 3
111,2503760,FIRST,NB5,C-9,BOYS HOSTEL BLOCK - 3
112,2502321,FIRST,NB5,C-10,BOYS HOSTEL BLOCK - 3
113,2505215,FIRST,NB5,C-11,BOYS HOSTEL BLOCK - 3
114,2501690,FIRST,NB5,C-12,BOYS HOSTEL BLOCK - 3
115,2505302,FIRST,NB5,C-13,BOYS HOSTEL BLOCK - 3
116,2500686,FIRST,NB5,C-14,BOYS HOSTEL BLOCK - 3
117,2505316,FIRST,NB5,C-15,BOYS HOSTEL BLOCK - 3
118,2505549,FIRST,NB5,C-16,BOYS HOSTEL BLOCK - 3
119,2501599,FIRST,NB5,C-17,BOYS HOSTEL BLOCK - 3
120,2505584,FIRST,NB5,C-18,BOYS HOSTEL BLOCK - 3
121,2501118,SECOND,NB6,C-1,BOYS HOSTEL BLOCK - 3
122,2503751,SECOND,NB6,C-2,BOYS HOSTEL BLOCK - 3
123,2503167,SECOND,NB6,C-3,BOYS HOSTEL BLOCK - 3
124,2504523,SECOND,NB6,C-4,BOYS HOSTEL BLOCK - 3
125,2504219,SECOND,NB6,C-5,BOYS HOSTEL BLOCK - 3
126,2505252,SECOND,NB6,C-6,BOYS HOSTEL BLOCK - 3
127,2502037,SECOND,NB6,C-7,BOYS HOSTEL BLOCK - 3
128,2505289,SECOND,NB6,C-8,BOYS HOSTEL BLOCK - 3
129,2502166,SECOND,NB6,C-9,BOYS HOSTEL BLOCK - 3
130,2502100,SECOND,NB7,C-1,BOYS HOSTEL BLOCK - 3
131,2503762,SECOND,NB7,C-2,BOYS HOSTEL BLOCK - 3
132,2502841,SECOND,NB7,C-3,BOYS HOSTEL BLOCK - 3
133,2504284,SECOND,NB7,C-4,BOYS HOSTEL BLOCK - 3
134,2504237,SECOND,NB7,C-5,BOYS HOSTEL BLOCK - 3
135,2503512,SECOND,NB7,C-6,BOYS HOSTEL BLOCK - 3
136,2500751,SECOND,NB7,C-7,BOYS HOSTEL BLOCK - 3
137,2502326,SECOND,NB7,C-8,BOYS HOSTEL BLOCK - 3
138,2501665,SECOND,NB7,C-9,BOYS HOSTEL BLOCK - 3
139,2502178,SECOND,NB7,C-10,BOYS HOSTEL BLOCK - 3
140,2504509,SECOND,NB7,C-11,BOYS HOSTEL BLOCK - 3
141,2505636,SECOND,NB8,C-1,BOYS HOSTEL BLOCK - 3
142,2505050,SECOND,NB8,C-2,BOYS HOSTEL BLOCK - 3
143,2504603,SECOND,NB8,C-3,BOYS HOSTEL BLOCK - 3
144,2504341,SECOND,NB8,C-4,BOYS HOSTEL BLOCK - 3
145,2501597,SECOND,NB8,C-5,BOYS HOSTEL BLOCK - 3
146,2502368,SECOND,NB8,C-6,BOYS HOSTEL BLOCK - 3
147,2502173,SECOND,NB8,C-7,BOYS HOSTEL BLOCK - 3
148,2502816,SECOND,NB8,C-8,BOYS HOSTEL BLOCK - 3
149,2502636,SECOND,NB8,C-9,BOYS HOSTEL BLOCK - 3
150,2504078,SECOND,NB8,C-10,BOYS HOSTEL BLOCK - 3
151,2505640,SECOND,NB8,C-11,BOYS HOSTEL BLOCK - 3
152,2502622,SECOND,NB8,C-12,BOYS HOSTEL BLOCK - 3
153,2500655,SECOND,NB8,C-13,BOYS HOSTEL BLOCK - 3
154,2502827,SECOND,NB8,C-14,BOYS HOSTEL BLOCK - 3
155,2503514,SECOND,NB8,C-15,BOYS HOSTEL BLOCK - 3
156,2502470,SECOND,NB8,C-16,BOYS HOSTEL BLOCK - 3
157,2505240,SECOND,NB8,C-17,BOYS HOSTEL BLOCK - 3
158,2502820,SECOND,NB8,C-18,BOYS HOSTEL BLOCK - 3
159,2500723,SECOND,NB9,C-1,BOYS HOSTEL BLOCK - 3
160,2502327,SECOND,NB9,C-2,BOYS HOSTEL BLOCK - 3
161,2500705,SECOND,NB9,C-3,BOYS HOSTEL BLOCK - 3
162,2502846,SECOND,NB9,C-4,BOYS HOSTEL BLOCK - 3
163,2503878,SECOND,NB9,C-5,BOYS HOSTEL BLOCK - 3
164,2502322,SECOND,NB9,C-6,BOYS HOSTEL BLOCK - 3
165,2505643,SECOND,NB9,C-7,BOYS HOSTEL BLOCK - 3
166,2502140,SECOND,NB9,C-8,BOYS HOSTEL BLOCK - 3
167,2500646,SECOND,NB9,C-9,BOYS HOSTEL BLOCK - 3
168,2504231,SECOND,NB9,C-10,BOYS HOSTEL BLOCK - 3
169,2502169,SECOND,NB9,C-11,BOYS HOSTEL BLOCK - 3
170,2501598,SECOND,NB9,C-12,BOYS HOSTEL BLOCK - 3
171,2502117,SECOND,NB9,C-13,BOYS HOSTEL BLOCK - 3
172,2502175,SECOND,NB9,C-14,BOYS HOSTEL BLOCK - 3
173,2501467,SECOND,NB9,C-15,BOYS HOSTEL BLOCK - 3
174,2501693,SECOND,NB9,C-16,BOYS HOSTEL BLOCK - 3
175,2505361,SECOND,NB9,C-17,BOYS HOSTEL BLOCK - 3
176,2504891,SECOND,NB9,C-18,BOYS HOSTEL BLOCK - 3
177,2503168,SECOND,NB10,C-1,BOYS HOSTEL BLOCK - 3
178,2505659,SECOND,NB10,C-2,BOYS HOSTEL BLOCK - 3
179,2502767,SECOND,NB10,C-3,BOYS HOSTEL BLOCK - 3
180,2502174,SECOND,NB10,C-4,BOYS HOSTEL BLOCK - 3
181,2503504,SECOND,NB10,C-5,BOYS HOSTEL BLOCK - 3
182,2504729,SECOND,NB10,C-6,BOYS HOSTEL BLOCK - 3
183,2502834,SECOND,NB10,C-7,BOYS HOSTEL BLOCK - 3
184,2504720,SECOND,NB10,C-8,BOYS HOSTEL BLOCK - 3
185,2501692,SECOND,NB10,C-9,BOYS HOSTEL BLOCK - 3
186,2504404,SECOND,NB10,C-10,BOYS HOSTEL BLOCK - 3
187,2505359,SECOND,NB10,C-11,BOYS HOSTEL BLOCK - 3
188,2502768,SECOND,NB10,C-12,BOYS HOSTEL BLOCK - 3
189,2505651,SECOND,NB10,C-13,BOYS HOSTEL BLOCK - 3
190,2501596,SECOND,NB10,C-14,BOYS HOSTEL BLOCK - 3
191,2501688,SECOND,NB10,C-15,BOYS HOSTEL BLOCK - 3
192,2505652,SECOND,NB10,C-16,BOYS HOSTEL BLOCK - 3
193,2502825,SECOND,NB10,C-17,BOYS HOSTEL BLOCK - 3
194,2502724,SECOND,NB10,C-18,BOYS HOSTEL BLOCK - 3
195,2502176,SECOND,NB11,C-1,BOYS HOSTEL BLOCK - 3
196,2501678,SECOND,NB11,C-2,BOYS HOSTEL BLOCK - 3
197,2502831,SECOND,NB11,C-3,BOYS HOSTEL BLOCK - 3
198,2504743,SECOND,NB11,C-4,BOYS HOSTEL BLOCK - 3
199,2502533,SECOND,NB11,C-5,BOYS HOSTEL BLOCK - 3
200,2500715,SECOND,NB11,C-6,BOYS HOSTEL BLOCK - 3
201,2503004,SECOND,NB11,C-7,BOYS HOSTEL BLOCK - 3
202,2502146,SECOND,NB11,C-8,BOYS HOSTEL BLOCK - 3
203,2501691,SECOND,NB11,C-9,BOYS HOSTEL BLOCK - 3
204,2503757,SECOND,NB11,C-10,BOYS HOSTEL BLOCK - 3
205,2505186,SECOND,NB11,C-11,BOYS HOSTEL BLOCK - 3
206,2505386,SECOND,NB11,C-12,BOYS HOSTEL BLOCK - 3
207,2501703,SECOND,NB11,C-13,BOYS HOSTEL BLOCK - 3
208,2505653,SECOND,NB11,C-14,BOYS HOSTEL BLOCK - 3
209,2502144,THIRD,NB14,C-1,BOYS HOSTEL BLOCK - 3
210,2500660,THIRD,NB14,C-2,BOYS HOSTEL BLOCK - 3
211,2502713,THIRD,NB14,C-3,BOYS HOSTEL BLOCK - 3
212,2503486,THIRD,NB14,C-4,BOYS HOSTEL BLOCK - 3
213,2502833,THIRD,NB14,C-5,BOYS HOSTEL BLOCK - 3
214,2502154,THIRD,NB14,C-6,BOYS HOSTEL BLOCK - 3
215,2502160,THIRD,NB14,C-7,BOYS HOSTEL BLOCK - 3
216,2504940,THIRD,NB14,C-8,BOYS HOSTEL BLOCK - 3
217,2500681,THIRD,NB14,C-9,BOYS HOSTEL BLOCK - 3
218,2502792,THIRD,NB14,C-10,BOYS HOSTEL BLOCK - 3
219,2502830,THIRD,NB14,C-11,BOYS HOSTEL BLOCK - 3
220,2502765,THIRD,NB14,C-12,BOYS HOSTEL BLOCK - 3
221,2502376,THIRD,NB14,C-13,BOYS HOSTEL BLOCK - 3
222,2500985,THIRD,NB14,C-14,BOYS HOSTEL BLOCK - 3
223,2503061,THIRD,NB14,C-15,BOYS HOSTEL BLOCK - 3
224,2502612,THIRD,NB14,C-16,BOYS HOSTEL BLOCK - 3
225,2502760,THIRD,NB14,C-17,BOYS HOSTEL BLOCK - 3
226,2501669,THIRD,NB14,C-18,BOYS HOSTEL BLOCK - 3
227,2505368,THIRD,NB15,C-1,BOYS HOSTEL BLOCK - 3
228,2502739,THIRD,NB15,C-2,BOYS HOSTEL BLOCK - 3
229,2502837,THIRD,NB15,C-3,BOYS HOSTEL BLOCK - 3
230,2502815,THIRD,NB15,C-4,BOYS HOSTEL BLOCK - 3
231,2502167,THIRD,NB15,C-5,BOYS HOSTEL BLOCK - 3
232,2502858,THIRD,NB15,C-6,BOYS HOSTEL BLOCK - 3
233,2502818,THIRD,NB15,C-7,BOYS HOSTEL BLOCK - 3
234,2502477,THIRD,NB15,C-8,BOYS HOSTEL BLOCK - 3
235,2502158,THIRD,NB15,C-9,BOYS HOSTEL BLOCK - 3
236,2500598,THIRD,NB15,C-10,BOYS HOSTEL BLOCK - 3
237,2500241,THIRD,NB15,C-11,BOYS HOSTEL BLOCK - 3
238,2503883,THIRD,NB15,C-12,BOYS HOSTEL BLOCK - 3
239,2500610,THIRD,NB15,C-13,BOYS HOSTEL BLOCK - 3
240,2502763,THIRD,NB15,C-14,BOYS HOSTEL BLOCK - 3
241,2504085,THIRD,NB15,C-15,BOYS HOSTEL BLOCK - 3
242,2502758,THIRD,NB15,C-16,BOYS HOSTEL BLOCK - 3
243,2503060,THIRD,NB15,C-17,BOYS HOSTEL BLOCK - 3
244,2505322,THIRD,NB15,C-18,BOYS HOSTEL BLOCK - 3
245,2500587,THIRD,NB16,C-1,BOYS HOSTEL BLOCK - 3
246,2505029,THIRD,NB16,C-2,BOYS HOSTEL BLOCK - 3
247,2502771,THIRD,NB16,C-3,BOYS HOSTEL BLOCK - 3
248,2502813,THIRD,NB16,C-4,BOYS HOSTEL BLOCK - 3
249,2502145,THIRD,NB16,C-5,BOYS HOSTEL BLOCK - 3
250,2501717,THIRD,NB16,C-6,BOYS HOSTEL BLOCK - 3
251,2500710,THIRD,NB16,C-7,BOYS HOSTEL BLOCK - 3
252,2502847,THIRD,NB16,C-8,BOYS HOSTEL BLOCK - 3
253,2503904,THIRD,NB16,C-9,BOYS HOSTEL BLOCK - 3
254,2501697,THIRD,NB16,C-10,BOYS HOSTEL BLOCK - 3
255,2500591,THIRD,NB16,C-11,BOYS HOSTEL BLOCK - 3
256,2502780,THIRD,NB16,C-12,BOYS HOSTEL BLOCK - 3
257,2505111,FIRST,206,C-1,BOYS HOSTEL BLOCK - 1
258,2504407,FIRST,206,C-2,BOYS HOSTEL BLOCK - 1
259,2504330,FIRST,206,C-3,BOYS HOSTEL BLOCK - 1
260,2503570,FIRST,206,C-4,BOYS HOSTEL BLOCK - 1
261,2504118,FIRST,206,C-5,BOYS HOSTEL BLOCK - 1
262,2503833,FIRST,206,C-6,BOYS HOSTEL BLOCK - 1
263,2505394,FIRST,206,C-7,BOYS HOSTEL BLOCK - 1
264,2505113,FIRST,206,C-8,BOYS HOSTEL BLOCK - 1
265,2503749,FIRST,207,C-1,BOYS HOSTEL BLOCK - 1
266,2503034,FIRST,207,C-2,BOYS HOSTEL BLOCK - 1
267,2502165,FIRST,207,C-3,BOYS HOSTEL BLOCK - 1
268,2501713,FIRST,207,C-4,BOYS HOSTEL BLOCK - 1
269,2502538,FIRST,207,C-5,BOYS HOSTEL BLOCK - 1
270,2503913,FIRST,207,C-6,BOYS HOSTEL BLOCK - 1
271,2503648,FIRST,207,C-7,BOYS HOSTEL BLOCK - 1
272,2501686,FIRST,207,C-8,BOYS HOSTEL BLOCK - 1
273,2503508,FIRST,208,C-1,BOYS HOSTEL BLOCK - 1
274,2504599,FIRST,208,C-2,BOYS HOSTEL BLOCK - 1
275,2502151,FIRST,208,C-3,BOYS HOSTEL BLOCK - 1
276,2503769,FIRST,208,C-4,BOYS HOSTEL BLOCK - 1
277,2503888,FIRST,208,C-5,BOYS HOSTEL BLOCK - 1
278,2504549,FIRST,208,C-6,BOYS HOSTEL BLOCK - 1
279,2505225,FIRST,208,C-7,BOYS HOSTEL BLOCK - 1
280,2501628,FIRST,208,C-8,BOYS HOSTEL BLOCK - 1
281,2502364,FIRST,209,C-1,BOYS HOSTEL BLOCK - 1
282,2501268,FIRST,209,C-2,BOYS HOSTEL BLOCK - 1
283,2504902,FIRST,209,C-3,BOYS HOSTEL BLOCK - 1
284,2503891,FIRST,209,C-4,BOYS HOSTEL BLOCK - 1
285,2502773,FIRST,209,C-5,BOYS HOSTEL BLOCK - 1
286,2504518,FIRST,209,C-6,BOYS HOSTEL BLOCK - 1
287,2500695,FIRST,209,C-7,BOYS HOSTEL BLOCK - 1
288,2503869,FIRST,209,C-8,BOYS HOSTEL BLOCK - 1
289,2503848,FIRST,209,C-9,BOYS HOSTEL BLOCK - 1
290,2502132,FIRST,211,C-1,BOYS HOSTEL BLOCK - 1
291,2503895,FIRST,211,C-2,BOYS HOSTEL BLOCK - 1
292,2505383,FIRST,211,C-3,BOYS HOSTEL BLOCK - 1
293,2503715,FIRST,211,C-4,BOYS HOSTEL BLOCK - 1
294,2503872,FIRST,211,C-5,BOYS HOSTEL BLOCK - 1
295,2503702,FIRST,211,C-6,BOYS HOSTEL BLOCK - 1
296,2500643,FIRST,211,C-7,BOYS HOSTEL BLOCK - 1
297,2505049,FIRST,211,C-8,BOYS HOSTEL BLOCK - 1
298,2504375,FIRST,211,C-9,BOYS HOSTEL BLOCK - 1
299,2504317,FIRST,211A,C-1,BOYS HOSTEL BLOCK - 1
300,2503655,FIRST,211A,C-2,BOYS HOSTEL BLOCK - 1
301,2504475,FIRST,211A,C-3,BOYS HOSTEL BLOCK - 1
302,2502850,FIRST,211A,C-4,BOYS HOSTEL BLOCK - 1
303,2502152,FIRST,211A,C-5,BOYS HOSTEL BLOCK - 1
304,2501700,FIRST,211A,C-6,BOYS HOSTEL BLOCK - 1
305,2502537,FIRST,211A,C-7,BOYS HOSTEL BLOCK - 1
306,2505081,FIRST,211A,C-8,BOYS HOSTEL BLOCK - 1
307,2501637,FIRST,211A,C-9,BOYS HOSTEL BLOCK - 1
308,2502149,SECOND,314A,C-1,BOYS HOSTEL BLOCK - 1
309,2502162,SECOND,314A,C-2,BOYS HOSTEL BLOCK - 1
310,2505486,SECOND,314A,C-3,BOYS HOSTEL BLOCK - 1
311,2504049,SECOND,314A,C-4,BOYS HOSTEL BLOCK - 1
312,2500713,SECOND,314A,C-5,BOYS HOSTEL BLOCK - 1
313,2505085,SECOND,314A,C-6,BOYS HOSTEL BLOCK - 1
314,2500736,SECOND,314A,C-7,BOYS HOSTEL BLOCK - 1
315,2504656,SECOND,314A,C-8,BOYS HOSTEL BLOCK - 1
316,2505692,SECOND,314,C-1,BOYS HOSTEL BLOCK - 1
317,2504864,SECOND,314,C-2,BOYS HOSTEL BLOCK - 1
318,2502159,SECOND,314,C-3,BOYS HOSTEL BLOCK - 1
319,2505080,SECOND,314,C-4,BOYS HOSTEL BLOCK - 1
320,2504401,SECOND,314,C-5,BOYS HOSTEL BLOCK - 1
321,2502115,SECOND,314,C-6,BOYS HOSTEL BLOCK - 1
322,2503422,SECOND,314,C-7,BOYS HOSTEL BLOCK - 1
323,2500120,SECOND,314,C-8,BOYS HOSTEL BLOCK - 1
324,2501656,SECOND,312,C-1,BOYS HOSTEL BLOCK - 1
325,2500652,SECOND,312,C-2,BOYS HOSTEL BLOCK - 1
326,2504659,SECOND,312,C-3,BOYS HOSTEL BLOCK - 1
327,2503391,SECOND,312,C-4,BOYS HOSTEL BLOCK - 1
328,2501710,SECOND,312,C-5,BOYS HOSTEL BLOCK - 1
329,2502129,SECOND,312,C-6,BOYS HOSTEL BLOCK - 1
330,2502155,SECOND,312,C-7,BOYS HOSTEL BLOCK - 1
331,2504216,SECOND,312,C-8,BOYS HOSTEL BLOCK - 1
332,2501023,SECOND,301,C-1,BOYS HOSTEL BLOCK - 1
333,2505414,SECOND,301,C-2,BOYS HOSTEL BLOCK - 1
334,2504045,SECOND,301,C-3,BOYS HOSTEL BLOCK - 1
335,2502106,SECOND,301,C-4,BOYS HOSTEL BLOCK - 1
336,2501705,SECOND,301,C-5,BOYS HOSTEL BLOCK - 1
337,2501706,SECOND,301,C-6,BOYS HOSTEL BLOCK - 1
338,2502157,SECOND,301,C-7,BOYS HOSTEL BLOCK - 1
339,2500678,SECOND,301,C-8,BOYS HOSTEL BLOCK - 1
340,2505504,SECOND,302,C-1,BOYS HOSTEL BLOCK - 1
341,2503899,SECOND,302,C-2,BOYS HOSTEL BLOCK - 1
342,2502582,SECOND,302,C-3,BOYS HOSTEL BLOCK - 1
343,2503893,SECOND,302,C-4,BOYS HOSTEL BLOCK - 1
344,2501719,SECOND,302,C-5,BOYS HOSTEL BLOCK - 1
345,2503684,SECOND,302,C-6,BOYS HOSTEL BLOCK - 1
346,2502534,SECOND,302,C-7,BOYS HOSTEL BLOCK - 1
347,2501681,SECOND,302,C-8,BOYS HOSTEL BLOCK - 1
348,2504788,SECOND,302,C-9,BOYS HOSTEL BLOCK - 1
349,2503321,SECOND,302,C-10,BOYS HOSTEL BLOCK - 1
350,2504494,SECOND,302,C-11,BOYS HOSTEL BLOCK - 1
351,2501689,SECOND,302,C-12,BOYS HOSTEL BLOCK - 1
352,2505447,SECOND,304,C-1,BOYS HOSTEL BLOCK - 1
353,2501657,SECOND,304,C-2,BOYS HOSTEL BLOCK - 1
354,2505273,SECOND,304,C-3,BOYS HOSTEL BLOCK - 1
355,2505323,SECOND,304,C-4,BOYS HOSTEL BLOCK - 1
356,2505435,SECOND,304,C-5,BOYS HOSTEL BLOCK - 1
357,2502095,SECOND,304,C-6,BOYS HOSTEL BLOCK - 1
358,2504081,SECOND,304,C-7,BOYS HOSTEL BLOCK - 1
359,2501651,SECOND,304,C-8,BOYS HOSTEL BLOCK - 1
360,2502385,SECOND,304,C-9,BOYS HOSTEL BLOCK - 1
361,2502110,SECOND,306,C-1,BOYS HOSTEL BLOCK - 1
362,2503924,SECOND,306,C-2,BOYS HOSTEL BLOCK - 1
363,2501635,SECOND,306,C-3,BOYS HOSTEL BLOCK - 1
364,2503908,SECOND,306,C-4,BOYS HOSTEL BLOCK - 1
365,2505161,SECOND,306,C-5,BOYS HOSTEL BLOCK - 1
366,2505571,SECOND,306,C-6,BOYS HOSTEL BLOCK - 1
367,2503534,SECOND,306,C-7,BOYS HOSTEL BLOCK - 1
368,2504233,SECOND,306,C-8,BOYS HOSTEL BLOCK - 1
369,2505056,SECOND,306,C-9,BOYS HOSTEL BLOCK - 1
370,2503765,SECOND,306,C-10,BOYS HOSTEL BLOCK - 1
371,2505416,SECOND,306,C-11,BOYS HOSTEL BLOCK - 1
372,2501695,SECOND,306,C-12,BOYS HOSTEL BLOCK - 1
373,2502588,SECOND,307,C-1,BOYS HOSTEL BLOCK - 1
374,2504471,SECOND,307,C-2,BOYS HOSTEL BLOCK - 1
